Address1,Addess2,Address3,Ward Code,Property_Type_Code,Commencement_Date,Number of Expressions of Interest
Windmill Chase,Rothwell,Leeds,Rothwell,2BF,15/05/2024,1
Landseer Drive,Bramley,Leeds,Bramley & Stanningley,1BF,29/05/2024,1
Cross Ingram Road,Holbeck,Leeds,Beeston & Holbeck,2BF,10/05/2024,37
Temple Lawn,Rothwell,Leeds,Rothwell,1BF,26/04/2024,60
Broadlea Hill,Bramley,Leeds,Bramley & Stanningley,1BF,23/04/2024,366
Bodmin Street,Middleton,Leeds,Middleton Park,1BF,04/04/2024,1
Naseby Grange,Burmantofts,Leeds,Burmantofts & Richmond Hill,2BMSF,19/06/2024,422
The Grove,Gildersome,Morley,Morley North,BED,02/05/2024,13
Victoria Close,Allerton Bywater,Castleford,Kippax & Methley,2BF,09/05/2024,41
Fink Hill,Horsforth,Leeds,Horsforth,1BF,18/06/2024,47
Lay Garth Gardens,Rothwell,Leeds,Rothwell,1BF,08/04/2024,444
Parkway Court,Seacroft,Leeds,Killingbeck & Seacroft,2BMSF,04/04/2024,79
Ashton Crescent,Carlton,Wakefield,Rothwell,2BB,11/06/2024,166
Arthington Court,Hunslet,Leeds,Hunslet & Riverside,1BF,04/06/2024,36
Newton Close,Rothwell,Leeds,Ardsley & Robin Hood,1BB,17/04/2024,57
The Broadwalk,Otley,Leeds,Otley & Yeadon,1BF,05/04/2024,451
Henshaw Crescent,Yeadon,Leeds,Otley & Yeadon,2BH,14/06/2024,702
Lea Croft,Otley,Leeds,Otley & Yeadon,1BB,12/04/2024,146
Throstle Road North,Middleton,Leeds,Middleton Park,1BF,16/04/2024,458
Middleton Park Court,Middleton,Leeds,Middleton Park,1BF,07/06/2024,32
Sissons Green,Middleton,Leeds,Middleton Park,1BF,02/05/2024,731
Westfield Avenue,Kippax,Leeds,Kippax & Methley,2BB,17/04/2024,159
Cranmore Grove,Middleton,Leeds,Middleton Park,1BB,13/05/2024,70
Manor Close,Yeadon,Leeds,Otley & Yeadon,1BF,01/05/2024,505
Union Court,Otley,Leeds,Otley & Yeadon,1BF,12/06/2024,35
Summerfield Drive,Bramley,Leeds,Bramley & Stanningley,2BF,26/06/2024,319
Manorfield,Beeston,Leeds,Beeston & Holbeck,1BB,08/05/2024,94
The Oval,Garforth,Leeds,Garforth & Swillington,1BB,25/04/2024,1
Jumbles Lane,Lofthouse,Wakefield,Ardsley & Robin Hood,1BF,09/04/2024,31
Crimbles Court,Pudsey,Leeds,Pudsey,1BB,01/05/2024,1
Church Close,Swillington,Leeds,Garforth & Swillington,1BB,22/05/2024,1
St Matthias Court,Burley,Leeds,Kirkstall,1BF,10/06/2024,23
Elmfield Court,Morley,Leeds,Morley South,2BF,09/04/2024,106
Gamble Hill Croft,Bramley,Leeds,Farnley & Wortley,1BF,13/05/2024,233
Poplar Mount,Bramley,Leeds,Armley,1BMSF,12/04/2024,1
Queensview,Seacroft,Leeds,Killingbeck & Seacroft,1BMSF,07/06/2024,1
Queenswood Heights,Headingley,Leeds,Kirkstall,1BMSF,24/05/2024,381
Stead Lane,Thorner,Leeds,Harewood,1BF,29/05/2024,43
North Farm Road,Gipton,Leeds,Gipton & Harehills,2BH,07/06/2024,1053
Kentmere Avenue,Seacroft,Leeds,Killingbeck & Seacroft,1BF,21/05/2024,599
Kendal Lane,Woodhouse,Leeds,Little London & Woodhouse,1BF,05/05/2024,972
Newton Close,Rothwell,Leeds,Ardsley & Robin Hood,1BB,04/06/2024,115
Stonebridge Grove,Farnley,Leeds,Farnley & Wortley,1BF,14/05/2024,1
Burnsall Grange,Armley,Leeds,Armley,2BMSF,17/06/2024,93
Hollins Grove,Allerton Bywater,Castleford,Kippax & Methley,1BF,05/04/2024,13
Water Lane,Farsley,Pudsey,Calverley & Farsley,1BMSF,26/04/2024,19
Asquith Drive,Morley,Leeds,Morley North,1BF,03/06/2024,816
Stanks Drive,Stanks,Leeds,Cross Gates & Whinmoor,1BF,11/04/2024,1
Winrose Crescent,Belle Isle,Leeds,Middleton Park,1BF,21/06/2024,823
Fink Hill,Horsforth,Leeds,Horsforth,1BF,24/06/2024,22
Queensview,Seacroft,Leeds,Killingbeck & Seacroft,1BMSF,22/05/2024,1
Gascoigne House,Middleton,Leeds,Middleton Park,1BF,09/06/2024,1
Baildon Close,Whinmoor,Leeds,Cross Gates & Whinmoor,1BF,09/04/2024,446
Freemont Street,Bramley,Leeds,Bramley & Stanningley,1BB,31/05/2024,39
Gascoigne House,Middleton,Leeds,Middleton Park,1BF,12/05/2024,1
Ganners Road,Bramley,Leeds,Bramley & Stanningley,1BF,18/06/2024,1
Saville Green,Burmantofts,Leeds,Burmantofts & Richmond Hill,1BMSF,12/06/2024,580
Holborn Gardens,Woodhouse,Leeds,Headingley & Hyde Park,1BF,17/05/2024,1
Thornhill Court,Upper Wortley,Leeds,Farnley & Wortley,1BF,28/06/2024,24
Parsonage Road,Methley,Leeds,Kippax & Methley,1BB,20/05/2024,1
Holtdale Avenue,Adel,Leeds,Adel & Wharfedale,1BF,08/04/2024,566
Cottingley Heights,Beeston,Leeds,Beeston & Holbeck,2BMSF,23/05/2024,8
Royds Court,Rothwell,Leeds,Rothwell,1BF,17/04/2024,32
Redhall Crescent,Beeston,Leeds,Beeston & Holbeck,1BF,18/04/2024,1
Sir Karl Cohen Square,Armley,Leeds,Armley,1BF,30/05/2024,27
Eastleigh Drive,West Ardsley,Wakefield,Ardsley & Robin Hood,2BH,24/06/2024,348
Winrose Grove,Belle Isle,Leeds,Middleton Park,1BF,07/06/2024,475
Sledmere Croft,Swarcliffe,Leeds,Cross Gates & Whinmoor,1BF,19/04/2024,1
Clyde Grange,New Wortley,Leeds,Armley,3BF,08/04/2024,1
Manor Farm Gardens,Middleton,Leeds,Middleton Park,2BH,04/06/2024,506
Seacroft Gate,Seacroft,Leeds,Killingbeck & Seacroft,1BMSF,31/05/2024,1
Tofts House Close,Pudsey,Leeds,Pudsey,1BF,08/05/2024,423
Silk Mill Drive,Cookridge,Leeds,Weetwood,2BF,18/06/2024,192
Gibson Lane,Kippax,Leeds,Kippax & Methley,1BB,21/05/2024,1
Northcote Crescent,Beeston,Leeds,Hunslet & Riverside,1BF,14/06/2024,50
North Farm Road,Gipton,Leeds,Gipton & Harehills,1BF,14/05/2024,632
Otley Lane,Yeadon,Leeds,Otley & Yeadon,1BB,27/06/2024,1
Cherry Tree Walk,East Ardsley,Wakefield,Ardsley & Robin Hood,1BF,12/06/2024,469
Cross Hills Court,Kippax,Leeds,Kippax & Methley,BED,20/05/2024,1
Claremont Grove,Pudsey,Leeds,Pudsey,1BF,24/06/2024,44
Gascoigne House,Middleton,Leeds,Middleton Park,1BF,21/04/2024,1
Hollins Grove,Allerton Bywater,Castleford,Kippax & Methley,1BF,15/05/2024,12
Gascoigne House,Middleton,Leeds,Middleton Park,1BF,14/04/2024,1
Gascoigne House,Middleton,Leeds,Middleton Park,2BF,16/06/2024,1
Lowell Place,Swinnow,Leeds,Pudsey,1BF,12/06/2024,786
Gascoigne House,Middleton,Leeds,Middleton Park,1BF,14/04/2024,1
Cross Flatts Parade,Cross Flatts,Leeds,Beeston & Holbeck,2BH,17/06/2024,1
Church Street,Hunslet,Leeds,Hunslet & Riverside,1BF,26/06/2024,5
Saville Green,Burmantofts,Leeds,Burmantofts & Richmond Hill,1BMSF,03/06/2024,1
Middleton,Middleton,Leeds,Middleton Park,1BF,19/05/2024,1
Gascoigne House,Middleton,Leeds,Middleton Park,1BF,02/06/2024,1
Crescent Grange,Beeston,Leeds,Hunslet & Riverside,1BMSF,11/06/2024,2
Gascoigne House,Middleton,Leeds,Middleton Park,2BF,16/06/2024,1
Crescent Grange,Beeston,Leeds,Hunslet & Riverside,2BF,13/06/2024,1
Beech Mount,Gipton,Leeds,Gipton & Harehills,3BH,20/06/2024,1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
